_id,_rev,deviceType,deviceId,eventType,format,timestamp,WS_sensorData_NO2,WS_sensorData_NO,WS_sensorData_NOX,WS_sensorData_StWd,WS_sensorData_WDS,WS_sensorData_WDD,WS_sensorData_ITemp,WS_sensorData_O3,WS_sensorData_SO2,WS_sensorData_Filter,WS_sensorData_PM2_5,WS_sensorData_PM10,WS_sensorData_O_Xyle,WS_sensorData_EthylB,WS_sensorData_BENZN,WS_sensorData_TOLUEN,WS_sensorData_TEMP,WS_sensorData_TOL,WS_sensorData_FILTER25,WS_sensorData_PM_10_25,WS_sensorData_BP,WS_sensorData_PREC,WS_sensorData_SR,WS_sensorData_CO,WS_sensorData_RH,WS_sensorData_NO2_TRAFIC,WS_sensorData_NO_TRAFIC,WS_sensorData_NOX_TRAFIC,WS_sensorData_CO_TRAFIC,WSV2_sensorData_BENZN,WSV2_sensorData_TOLUEN,date,time
52e9ae10-c740-11e7-922d-e592d25dbe09,1-e85c8ecec1c97dfd7cc8b7322e1b71ce,WS,Old-Market,sensorData,json,2017-11-11T16:27:54.097-08:00,3.2,0.3,3.7,13.12,0.9,182,23.9,43.8,2,,,,,,,,,,,,,,,,,,,,,,,2017-11-11,16:27:54.097-08:00
52f260a0-c740-11e7-90b6-a33da586196f,1-fc2db943a98a70c6bbe044b2b2ccdbd0,WS,Kiryat-Tivon,sensorData,json,2017-11-11T16:27:54.154-08:00,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,2017-11-11,16:27:54.154-08:00
52f71b90-c740-11e7-826b-4378d3375672,1-2c523afe2737de9a4c33bbb932936c36,WS,Kiryat-Binyamin,sensorData,json,2017-11-11T16:27:54.185-08:00,34,1,36,17.44,0.5,110,,,,,,,,,,,,,,,,,,,,,,,,,,2017-11-11,16:27:54.185-08:00
52fbfd90-c740-11e7-922d-e592d25dbe09,1-bedc36c1304eaf23ad992a9cfe741db1,WS,Kiryat-Ata,sensorData,json,2017-11-11T16:27:54.217-08:00,10.2,-1.6,7.6,13.85,0.8,312,24.2,,0,53,15.9,,,,,,,,,,,,,,,,,,,,,2017-11-11,16:27:54.217-08:00
53021810-c740-11e7-922d-e592d25dbe09,1-7f78a0d369722041e6da691c21d8ab12,WS,Neve-Shaanan,sensorData,json,2017-11-11T16:27:54.257-08:00,3.5,0,3.3,,1,339,,,-1.3,44,,18.7,0,-0.5,-0.09,0,,,,,,,,,,,,,,,,2017-11-11,16:27:54.257-08:00
531021d0-c740-11e7-90b6-81dfcd22b622,1-23f9c3bc87b2247a0fe2906227842bca,WS,Daliat-el-Carmel,sensorData,json,2017-11-11T16:27:54.349-08:00,5.6,-0.5,4.8,16.26,0.5,120,,,1.3,,22.2,,-0.2,0.2,-0.21,,20.8,1,,,,,,,,,,,,,,2017-11-11,16:27:54.349-08:00
5319bec0-c740-11e7-922d-e592d25dbe09,1-a7c652193426bed94df1f620b2e06e3c,WS,Ahuza,sensorData,json,2017-11-11T16:27:54.412-08:00,7.3,2.1,10.6,10.37,0,26,22.4,52,-0.1,20,11.9,23.8,,,,,23.3,,45,11.8,1002,0,9.4,,,,,,,,,2017-11-11,16:27:54.412-08:00
53244610-c740-11e7-a9dd-914287fc516e,1-711d4705eb47e5d67145fa34b745417b,WS,Shprintsak,sensorData,json,2017-11-11T16:27:54.481-08:00,1.5,0,1.4,,,,25.6,92,-1.3,15,10.8,16.4,,,,,22.7,,3,5.5,1004,0,,,,,,,,,,2017-11-11,16:27:54.481-08:00
532b7200-c740-11e7-922d-e592d25dbe09,1-4183ba6f75055f4908e42d10960e906f,WS,Kiryat-Motzkin,sensorData,json,2017-11-11T16:27:54.528-08:00,8.4,-0.1,8.1,,1.8,257,20.9,72.6,-0.3,5,6.8,,,,,,22.5,,40,-8.1,983,0,39.6,0.27,80,,,,,,,2017-11-11,16:27:54.528-08:00
532f1b80-c740-11e7-a9dd-914287fc516e,1-93397b665c590797bf09122201733c13,WS,Kiryat-Yam,sensorData,json,2017-11-11T16:27:54.552-08:00,8,0,7,53.81,0.3,128,27.1,,-0.3,,,,,,,,,,,,,,,,,,,,,,,2017-11-11,16:27:54.552-08:00
5334c0d0-c740-11e7-ae37-617ddee8b477,1-06d4821a65307155827d3bac73a44af1,WS,Kiryat-Hayim-Regavim,sensorData,json,2017-11-11T16:27:54.589-08:00,-0.9,0,-1,8.44,0.5,276,25.6,,0.1,,,,,,,,21.9,,,,,,,,61,,,,,,,2017-11-11,16:27:54.589-08:00
5347d3a0-c740-11e7-90b6-a33da586196f,1-4d42cd6b3020cf8ec02d3e41fc2522ba,WS,Nesher,sensorData,json,2017-11-11T16:27:54.714-08:00,15.8,-0.4,15.2,52.99,0.7,227,23,,1.7,17,,21.1,0.1,0.1,-0.17,4.1,23.1,,,,,0,,,63,,,,,,,2017-11-11,16:27:54.714-08:00
53514980-c740-11e7-922d-e592d25dbe09,1-608039385a53e982ba6752c2136db920,WS,Einstein,sensorData,json,2017-11-11T16:27:54.776-08:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-11-11,16:27:54.776-08:00
53551a10-c740-11e7-ad52-afff43ebfbca,1-0ac19af0d7e5955c896e1830f715a42c,WS,Kfar-Hasidim,sensorData,json,2017-11-11T16:27:54.801-08:00,4.7,-0.7,3.6,20.12,0.5,241,24.5,,0.2,,15.1,19,,,,,,,30,,,,,,,5,0,4,0.12,,,2017-11-11,16:27:54.801-08:00
542e3c01-c740-11e7-8ea3-bdeefb14cb95,1-ca80005f0f1a3c5a54ddd34ef1121b8b,WS,Old-Market,sensorData,json,2017-11-11T16:27:56.224-08:00,2.1,0,2.2,12.02,1.3,180,23.6,50.1,,,,,,,,,,,,,,,,,,,,,,,,2017-11-11,16:27:56.224-08:00
543a7100-c740-11e7-826b-4378d3375672,1-340331ff5b5f63d136647ab832c9b648,WS,Kiryat-Tivon,sensorData,json,2017-11-11T16:27:56.304-08:00,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,2017-11-11,16:27:56.304-08:00
5440d9a0-c740-11e7-8516-a1b443649ea9,1-289f774e59810a0a413b4c63b24d15ef,WS,Kiryat-Binyamin,sensorData,json,2017-11-11T16:27:56.346-08:00,37,13,57,22.4,0.5,112,,,,,,,,,,,,,,,,,,,,,,,,,,2017-11-11,16:27:56.346-08:00
54480590-c740-11e7-8ea3-bdeefb14cb95,1-f4206402bced3d5d13c161771c605a55,WSV2,Rekhasim,sensorData,json,2017-11-11T16:27:56.393-08:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,1.2,2017-11-11,16:27:56.393-08:00
544ee360-c740-11e7-b396-8b80b3cfc651,1-84c7df88b3b0a45f3e18cc37012a07dd,WS,Kiryat-Ata,sensorData,json,2017-11-11T16:27:56.438-08:00,10.1,-1.6,7.6,21.26,0.3,298,24,70.5,0,53,11.4,,,,,,,,,,,,,,,,,,,,,2017-11-11,16:27:56.438-08:00
